L J E r2
5 0 -0.000839817 7.04
5 0.25 -0.637827 7.00772
5 0.5 -1.38275 6.88471
5 0.75 -2.19563 6.58243
5 1 -2.96094 6.18766
5 1.25 -3.64069 5.67697
5 1.5 -4.15417 5.14878
5 0 0.00133415 7.04
5 0.25 -0.63496 7.0088
5 0.5 -1.38658 6.87961
5 0.75 -2.18871 6.60022
5 1 -2.96965 6.1665
5 1.25 -3.6222 5.67875
5 1.5 -4.13518 5.20044
5 0 0.000907498 7.04
5 0.25 -0.639511 7.00578
5 0.5 -1.38811 6.87331
5 0.75 -2.19607 6.59624
5 1 -2.97505 6.16348
5 1.25 -3.61745 5.69052
5 1.5 -4.12909 5.18855
5 0 -0.00195153 7.04
5 0.25 -0.634122 7.00707
5 0.5 -1.38028 6.87312
5 0.75 -2.18581 6.59624
5 1 -2.96829 6.178
5 1.25 -3.63609 5.68366
5 1.5 -4.13696 5.20928
5 0 -0.00236755 7.04
5 0.25 -0.635136 7.00635
5 0.5 -1.37977 6.87033
5 0.75 -2.18416 6.61272
5 1 -2.96913 6.17169
5 1.25 -3.63719 5.68618
5 1.5 -4.14677 5.1669
5 0 0.000663458 7.04
5 0.25 -0.632482 7.00665
5 0.5 -1.38147 6.87845
5 0.75 -2.19075 6.60143
5 1 -2.96546 6.1752
5 1.25 -3.61695 5.67177
5 1.5 -4.12897 5.18352
5 0 0.000828118 7.04
5 0.25 -0.636406 7.00669
5 0.5 -1.3801 6.88398
5 0.75 -2.18701 6.60396
5 1 -2.98043 6.17151
5 1.25 -3.60095 5.73361
5 1.5 -4.15252 5.18293
5 0 7.09793e-05 7.04
5 0.25 -0.634362 7.00706
5 0.5 -1.38441 6.87797
5 0.75 -2.18596 6.60572
5 1 -2.9549 6.19951
5 1.25 -3.62796 5.68034
5 1.5 -4.14061 5.19033
5 0 0.00202383 7.04
5 0.25 -0.630767 7.00741
5 0.5 -1.39148 6.87637
5 0.75 -2.18411 6.60648
5 1 -2.97475 6.16078
5 1.25 -3.64296 5.65621
5 1.5 -4.16316 5.16464
5 0 -0.00143404 7.04
5 0.25 -0.635425 7.0085
5 0.5 -1.38147 6.87745
5 0.75 -2.1938 6.61518
5 1 -2.95713 6.21113
5 1.25 -3.64093 5.67017
5 1.5 -4.1349 5.18733
