L J E r2
5 0 0.000559802 5.55372
5 0.3 -0.792225 5.51865
5 0.6 -1.75521 5.37332
5 0.9 -2.77179 5.0643
5 1.2 -3.64213 4.62825
5 1.5 -4.28713 4.17006
5 0 3.36018e-05 5.55372
5 0.3 -0.793349 5.51932
5 0.6 -1.7609 5.37001
5 0.9 -2.76958 5.05747
5 1.2 -3.6395 4.63184
5 1.5 -4.2952 4.16646
5 0 -0.000764801 5.55372
5 0.3 -0.792088 5.52013
5 0.6 -1.76029 5.3714
5 0.9 -2.7697 5.06102
5 1.2 -3.64293 4.6215
5 1.5 -4.28804 4.16794
5 0 -0.000264706 5.55372
5 0.3 -0.79326 5.51995
5 0.6 -1.76104 5.36789
5 0.9 -2.76871 5.06388
5 1.2 -3.643 4.62316
5 1.5 -4.28937 4.16185
5 0 0.000516048 5.55372
5 0.3 -0.795133 5.51953
5 0.6 -1.7586 5.36907
5 0.9 -2.76692 5.06274
5 1.2 -3.64235 4.62909
5 1.5 -4.28694 4.16578
5 0 -8.13963e-06 5.55372
5 0.3 -0.792614 5.5187
5 0.6 -1.76054 5.36816
5 0.9 -2.77522 5.05718
5 1.2 -3.64424 4.62571
5 1.5 -4.29318 4.16255
5 0 -0.000482486 5.55372
5 0.3 -0.794526 5.51954
5 0.6 -1.75898 5.37203
5 0.9 -2.77202 5.06375
5 1.2 -3.63092 4.64168
5 1.5 -4.27728 4.17757
5 0 -0.000972027 5.55372
5 0.3 -0.792864 5.51897
5 0.6 -1.76154 5.37048
5 0.9 -2.77838 5.0547
5 1.2 -3.63649 4.63536
5 1.5 -4.28585 4.17095
5 0 -0.000517942 5.55372
5 0.3 -0.792427 5.51931
5 0.6 -1.76166 5.3686
5 0.9 -2.77427 5.06109
5 1.2 -3.6428 4.62547
5 1.5 -4.28711 4.16773
5 0 -0.000961928 5.55372
5 0.3 -0.79291 5.51908
5 0.6 -1.75856 5.37367
5 0.9 -2.77455 5.05848
5 1.2 -3.63916 4.63275
5 1.5 -4.28912 4.1676
