L J E r2
6 0 -0.000771403 9.56338
6 0.25 -0.691768 9.51952
6 0.5 -1.38239 9.36875
6 0.75 -2.05724 9.08801
6 1 -2.71201 8.61066
6 1.25 -3.33259 7.96599
6 1.5 -3.88765 7.20694
6 0 4.92671e-05 9.56338
6 0.25 -0.690955 9.52032
6 0.5 -1.38088 9.36466
6 0.75 -2.05458 9.08281
6 1 -2.71597 8.61785
6 1.25 -3.31233 8.00275
6 1.5 -3.8841 7.21695
6 0 -0.00159115 9.56338
6 0.25 -0.690256 9.51746
6 0.5 -1.37763 9.37215
6 0.75 -2.06345 9.06685
6 1 -2.72572 8.59859
6 1.25 -3.32787 7.98324
6 1.5 -3.86832 7.24118
6 0 0.000168971 9.56338
6 0.25 -0.692042 9.51761
6 0.5 -1.37837 9.37248
6 0.75 -2.05778 9.08294
6 1 -2.71169 8.62505
6 1.25 -3.32254 8.00804
6 1.5 -3.90491 7.17507
6 0 -0.000192084 9.56338
6 0.25 -0.691027 9.52013
6 0.5 -1.37798 9.36776
6 0.75 -2.05245 9.08545
6 1 -2.71037 8.61909
6 1.25 -3.33532 7.95495
6 1.5 -3.88841 7.19867
6 0 -0.000851682 9.56338
6 0.25 -0.692626 9.51733
6 0.5 -1.38195 9.36527
6 0.75 -2.05936 9.0796
6 1 -2.71399 8.61771
6 1.25 -3.3303 7.96363
6 1.5 -3.89828 7.17052
6 0 -0.000318135 9.56338
6 0.25 -0.690831 9.51805
6 0.5 -1.38004 9.36394
6 0.75 -2.05949 9.08357
6 1 -2.70938 8.627
6 1.25 -3.32155 8.0035
6 1.5 -3.88337 7.19625
6 0 0.000112075 9.56338
6 0.25 -0.691582 9.51873
6 0.5 -1.38142 9.37003
6 0.75 -2.05565 9.07889
6 1 -2.71324 8.62853
6 1.25 -3.33615 7.96266
6 1.5 -3.90394 7.16696
6 0 -6.7947e-05 9.56338
6 0.25 -0.691778 9.51881
6 0.5 -1.37967 9.36931
6 0.75 -2.05672 9.0863
6 1 -2.71389 8.6159
6 1.25 -3.33438 7.97779
6 1.5 -3.8781 7.24596
6 0 -0.000612343 9.56338
6 0.25 -0.692667 9.51808
6 0.5 -1.38118 9.36581
6 0.75 -2.05574 9.07594
6 1 -2.71211 8.61202
6 1.25 -3.34379 7.94724
6 1.5 -3.88901 7.19423
