L J E r2
8 0 0.000156415 15.5562
8 0.25 -0.984015 15.4628
8 0.5 -1.97088 15.1486
8 0.75 -2.95917 14.5323
8 1 -3.94036 13.5553
8 1.25 -4.85967 12.2261
8 1.5 -5.74002 10.6052
8 0 0.000319286 15.5562
8 0.25 -0.983512 15.4622
8 0.5 -1.97012 15.1501
8 0.75 -2.95696 14.5322
8 1 -3.93183 13.567
8 1.25 -4.8765 12.201
8 1.5 -5.72163 10.6584
8 0 0.0010235 15.5562
8 0.25 -0.98398 15.4626
8 0.5 -1.97112 15.1481
8 0.75 -2.95602 14.5423
8 1 -3.93914 13.5487
8 1.25 -4.85856 12.2268
8 1.5 -5.71855 10.6492
8 0 -0.000385498 15.5562
8 0.25 -0.984812 15.4615
8 0.5 -1.97076 15.151
8 0.75 -2.95672 14.5462
8 1 -3.93256 13.5773
8 1.25 -4.86683 12.1893
8 1.5 -5.7591 10.5502
8 0 0.000422254 15.5562
8 0.25 -0.984036 15.4627
8 0.5 -1.9719 15.1483
8 0.75 -2.95854 14.5438
8 1 -3.94103 13.5461
8 1.25 -4.86578 12.2342
8 1.5 -5.75624 10.5275
8 0 -0.000527757 15.5562
8 0.25 -0.983997 15.4627
8 0.5 -1.97183 15.146
8 0.75 -2.95854 14.5432
8 1 -3.93115 13.5581
8 1.25 -4.87985 12.1777
8 1.5 -5.71928 10.6805
8 0 0.000554086 15.5562
8 0.25 -0.984204 15.4641
8 0.5 -1.96977 15.1517
8 0.75 -2.95604 14.5484
8 1 -3.94668 13.549
8 1.25 -4.89083 12.1519
8 1.5 -5.7317 10.5967
8 0 0.000567533 15.5562
8 0.25 -0.983851 15.4644
8 0.5 -1.97149 15.1479
8 0.75 -2.95551 14.5367
8 1 -3.93821 13.5599
8 1.25 -4.85212 12.2425
8 1.5 -5.71089 10.6401
8 0 -0.000499884 15.5562
8 0.25 -0.984271 15.4638
8 0.5 -1.96816 15.1539
8 0.75 -2.95887 14.5338
8 1 -3.94184 13.5357
8 1.25 -4.88675 12.1714
8 1.5 -5.7281 10.5746
8 0 0.000287017 15.5562
8 0.25 -0.983364 15.462
8 0.5 -1.97035 15.1478
8 0.75 -2.95812 14.5454
8 1 -3.94027 13.5347
8 1.25 -4.85398 12.2296
8 1.5 -5.72791 10.6042
