L J E r2
7 0 3.7703e-05 12.5744
7 0.3 -0.999231 12.4847
7 0.6 -1.98804 12.1889
7 0.9 -2.94818 11.6105
7 1.2 -3.84591 10.7263
7 1.5 -4.64314 9.61746
7 0 0.000538843 12.5744
7 0.3 -0.998974 12.485
7 0.6 -1.98968 12.1915
7 0.9 -2.95864 11.5967
7 1.2 -3.85323 10.7099
7 1.5 -4.6195 9.615
7 0 0.00142592 12.5744
7 0.3 -0.998597 12.4884
7 0.6 -1.98732 12.1947
7 0.9 -2.95804 11.5984
7 1.2 -3.84398 10.7359
7 1.5 -4.6319 9.61248
7 0 -0.00173859 12.5744
7 0.3 -0.996996 12.4845
7 0.6 -1.98883 12.1861
7 0.9 -2.95329 11.6086
7 1.2 -3.83942 10.7381
7 1.5 -4.63282 9.59679
7 0 0.000736644 12.5744
7 0.3 -0.997633 12.4891
7 0.6 -1.98481 12.1885
7 0.9 -2.95089 11.6141
7 1.2 -3.84133 10.7218
7 1.5 -4.63879 9.57464
7 0 0.00095743 12.5744
7 0.3 -0.996808 12.4861
7 0.6 -1.98749 12.1935
7 0.9 -2.95866 11.6127
7 1.2 -3.85327 10.6815
7 1.5 -4.63332 9.634
7 0 0.000705035 12.5744
7 0.3 -0.995709 12.4882
7 0.6 -1.98894 12.1905
7 0.9 -2.95639 11.5973
7 1.2 -3.8404 10.72
7 1.5 -4.63831 9.61662
7 0 0.00176366 12.5744
7 0.3 -0.998551 12.4852
7 0.6 -1.98912 12.1928
7 0.9 -2.95781 11.6054
7 1.2 -3.86424 10.7084
7 1.5 -4.62233 9.65078
7 0 0.00134337 12.5744
7 0.3 -0.999189 12.4885
7 0.6 -1.98747 12.1925
7 0.9 -2.95051 11.6078
7 1.2 -3.85038 10.7055
7 1.5 -4.64361 9.61153
7 0 -0.00097248 12.5744
7 0.3 -0.997376 12.4875
7 0.6 -1.98524 12.1961
7 0.9 -2.94847 11.6125
7 1.2 -3.84103 10.7365
7 1.5 -4.6159 9.62945
