L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std
5 1 250000 6.18304 0.142643 -3.01037 0.0654017 11.9486 0.37454 238.302 11.6227 0.0119717 0.0245352 0.00698855 0.020369 0.570355 0.0115298 0.394956 0.0117127 
5 1 500000 6.14509 0.0887956 -3.01078 0.0400249 11.9163 0.218119 234.964 6.88456 0.0142155 0.0161885 -0.00600706 0.0140251 0.567417 0.00724538 0.392047 0.00728405 
5 1 750000 6.1179 0.0694184 -3.01076 0.0315726 11.9474 0.179197 236.551 5.7271 0.00503842 0.0150199 -0.0142515 0.0112403 0.566322 0.00540164 0.39018 0.00561313 
5 1 1000000 6.15625 0.060971 -2.98031 0.0299648 11.7842 0.165749 231.801 4.96124 -0.00119821 0.0147663 -0.00873812 0.0100191 0.561972 0.00511465 0.385191 0.00555318 
5 1 1250000 6.16365 0.0530407 -2.97703 0.0259454 11.7687 0.153651 230.986 4.69613 -0.00387564 0.011902 -0.00556529 0.00907423 0.561349 0.00433617 0.384468 0.00483246 
5 1 1500000 6.1669 0.0481762 -2.98363 0.0267358 11.8018 0.16372 232.028 4.96245 -0.00301044 0.0116828 -0.00705897 0.00816639 0.562163 0.00386442 0.385315 0.0043278 
5 1 1750000 6.18059 0.0443105 -2.98962 0.0263428 11.8687 0.168446 234.535 5.18862 -0.00238502 0.00973644 -0.00780698 0.00753928 0.563519 0.00397261 0.386801 0.00441652 
5 1 2000000 6.17656 0.0419226 -2.98252 0.0243109 11.8283 0.147501 233.717 4.45277 -0.00244256 0.00847819 -0.00693675 0.00691838 0.561878 0.00380763 0.385394 0.00404243 
5 1 2250000 6.1813 0.0390909 -2.97924 0.021713 11.7933 0.133142 232.519 4.0018 -0.00314633 0.0075872 -0.00223759 0.00663488 0.561865 0.00338187 0.385038 0.00358355 
5 1 2500000 6.20004 0.0369448 -2.97165 0.0199856 11.7427 0.123091 230.917 3.71546 0.000549828 0.0069741 -0.00275591 0.00648741 0.560802 0.00307455 0.384157 0.00325247 
5 1 2750000 6.1877 0.0370192 -2.97072 0.0180637 11.739 0.112644 230.659 3.44924 0.00166751 0.00766638 -0.00227912 0.00609245 0.561068 0.0029408 0.384229 0.0030537 
5 1 3000000 6.19531 0.034253 -2.96295 0.0180174 11.7106 0.105904 229.995 3.19887 0.00016788 0.00766638 -0.00261372 0.00576175 0.559691 0.00283784 0.383223 0.00288103 
5 1 3250000 6.20345 0.0331392 -2.96617 0.0168015 11.723 0.0977971 230.062 2.93299 0.000226802 0.00652262 -0.00322762 0.00547846 0.560129 0.00263493 0.38341 0.00266592 
5 1 3500000 6.19231 0.0316749 -2.96771 0.01558 11.7265 0.0903357 230.272 2.71488 -0.0016277 0.00652262 -0.00225884 0.00525553 0.559997 0.00248939 0.383096 0.00253515 
