L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std
9 0 810000 18.9018 0.372704 0.0774242 0.0786229 4.68431 0.305449 70.3134 10.0091 -0.00253733 0.00805748 0.000521401 0.00775696 0.109618 0.00409542 0.0226192 0.0017589 
9 0 1620000 19.1083 0.255643 0.0264376 0.0633525 4.81158 0.264964 81.6045 12.326 -0.00319042 0.00552921 -0.000571124 0.00517971 0.110538 0.0032791 0.0230713 0.00140081 
9 0 2430000 19.0632 0.274076 0.000435624 0.045738 4.88042 0.212109 84.172 10.0898 -0.00143168 0.0053614 -0.00193273 0.00478757 0.112061 0.00247909 0.0236638 0.00117351 
9 0 3240000 18.8932 0.204889 -0.0223627 0.0366646 4.92382 0.159498 83.6079 7.21071 -0.000799225 0.00384258 -0.00106137 0.00401611 0.112208 0.00200576 0.0240189 0.000885639 
9 0 4050000 18.9733 0.182549 -0.0282725 0.0310319 4.92212 0.129878 81.982 5.9353 0.000595908 0.00339746 -0.00275247 0.00363336 0.112668 0.00177724 0.0239549 0.000788531 
9 0 4860000 19.0295 0.183201 -0.0216083 0.0347414 4.96113 0.115134 83.3062 4.95669 0.000607725 0.00313412 -0.00547377 0.00325177 0.112325 0.00151521 0.0237518 0.000654063 
9 0 5670000 19.0727 0.158002 -0.0190564 0.0289546 4.98077 0.103456 83.7741 4.4979 0.00147184 0.00282468 -0.00355014 0.00311944 0.111972 0.00131012 0.0235624 0.000579854 
9 0 6480000 19.0693 0.137832 -0.0285518 0.0252304 5.00577 0.0933863 85.3846 4.17742 0.000589414 0.00264984 -0.00400784 0.00285666 0.112094 0.00123167 0.0236991 0.000523958 
9 0 7290000 19.0701 0.123883 -0.0277892 0.0221318 4.97915 0.0892082 84.0923 3.79876 0.000745466 0.00239744 -0.00252546 0.00266633 0.112617 0.0011648 0.0238832 0.000505562 
9 0 8100000 19.053 0.110284 -0.0356163 0.0210376 4.99892 0.0862555 84.8768 3.7754 0.000257189 0.00228224 -0.00151245 0.00250173 0.112554 0.00109006 0.0239928 0.000482987 
9 0 8910000 19.049 0.104242 -0.0413915 0.0218993 4.99035 0.0803072 84.6575 3.44835 0.000338464 0.00218437 -0.00186705 0.00236505 0.112674 0.00100868 0.0240212 0.000487121 
9 0 9720000 19.0566 0.101323 -0.0378856 0.0208968 5.00004 0.0737395 84.4963 3.20262 0.000284327 0.00210176 -0.0006352 0.00233494 0.112541 0.000954359 0.0239912 0.000487121 
9 0 10530000 19.0685 0.0967289 -0.0331147 0.0195164 5.00449 0.0679466 84.1493 2.95718 -0.000906139 0.00200566 -0.00109614 0.00218539 0.112574 0.000951737 0.0240006 0.000406371 
9 0 11340000 19.0957 0.0926454 -0.0357671 0.0189956 5.01124 0.0640135 84.244 2.77471 -0.00127141 0.00195733 -0.00199467 0.00219423 0.112651 0.000901696 0.024024 0.000406371 
9 0 12150000 19.0739 0.0893543 -0.0331334 0.018211 4.99719 0.0643573 83.8647 2.72912 -0.00210318 0.00188899 -0.00128109 0.00225133 0.112753 0.000880408 0.0240191 0.000368229 
9 0 12960000 19.1039 0.0864495 -0.0254227 0.0175738 4.97384 0.0605564 82.6734 2.65323 -0.00141176 0.00184107 -0.000227308 0.00225048 0.112289 0.000860248 0.0237814 0.000355969 
9 0 13770000 19.1255 0.0824518 -0.0240164 0.0169443 4.96695 0.0596444 82.7146 2.78494 -0.000382789 0.00219254 -0.000306064 0.0021112 0.111891 0.000956644 0.0236472 0.000462744 
9 0 14580000 19.1394 0.0808262 -0.0175996 0.0165594 4.96715 0.057646 83.3962 2.752 0.000166941 0.00219254 -0.00045613 0.00200208 0.111804 0.000956644 0.0236277 0.000462744 
9 0 15390000 19.1335 0.0773845 -0.0171321 0.016018 4.95462 0.0572554 83.3693 2.67521 0.000205862 0.00202641 -0.00051307 0.00189127 0.111588 0.000896944 0.0235064 0.000432212 
9 0 16200000 19.1377 0.0764687 -0.0103616 0.0161861 4.94581 0.0549117 82.9068 2.56611 3.71996e-05 0.00202641 -0.000388288 0.00181331 0.111339 0.000896944 0.0234141 0.000432212 
9 0 17010000 19.1249 0.075314 -0.00976987 0.0153876 4.92898 0.0534731 82.0262 2.51484 0.000502342 0.00184533 -0.000199704 0.00178755 0.111452 0.00081761 0.0234022 0.000401353 
9 0 17820000 19.1249 0.0745323 -0.00976987 0.0159067 4.92898 0.0531001 82.0262 2.49619 0.000502342 0.00184533 -0.000199704 0.00170343 0.111452 0.00081761 0.0234022 0.000401353 
9 0 18630000 19.098 0.0730376 -0.00864559 0.0160153 4.91837 0.0516712 81.0442 2.40867 0.000344095 0.00168434 3.06167e-05 0.00163107 0.111325 0.000752966 0.0233312 0.000390248 
9 0 19440000 19.098 0.0711887 -0.00864559 0.0164059 4.91837 0.049432 81.0442 2.30766 0.000344095 0.00168434 3.06167e-05 0.00157458 0.111325 0.000752966 0.0233312 0.000390248 
9 0 20250000 19.0898 0.0693454 -0.0156343 0.0157519 4.91489 0.0477045 80.7716 2.2469 -5.162e-05 0.00158978 0.000186194 0.00151718 0.111579 0.000731702 0.0233794 0.000343274 
9 0 21060000 19.0898 0.0674667 -0.0156343 0.0155851 4.91489 0.0468318 80.7716 2.21158 -5.162e-05 0.00158978 0.000186194 0.00153964 0.111579 0.000731702 0.0233794 0.000343274 
9 0 21870000 19.0853 0.0660516 -0.0132731 0.0150566 4.90143 0.0460768 80.3346 2.22422 0.000229074 0.00149207 0.000553617 0.00149154 0.111436 0.00068929 0.0233268 0.000325877 
9 0 22680000 19.0853 0.0649669 -0.0132731 0.0144992 4.90143 0.0454281 80.3346 2.21785 0.000229074 0.00149207 0.000553617 0.00144858 0.111436 0.00068929 0.0233268 0.000325877 
9 0 23490000 19.0847 0.0678032 -0.0152165 0.0140982 4.8975 0.0445141 80.5886 2.14543 0.000237248 0.00138551 0.000330661 0.00141811 0.111606 0.000660739 0.0233616 0.000299822 
9 0 24300000 19.0847 0.066389 -0.0152165 0.0140325 4.8975 0.0440423 80.5886 2.12086 0.000237248 0.00138551 0.000330661 0.00138419 0.111606 0.000660739 0.0233616 0.000299822 
9 0 25110000 19.0636 0.0658455 -0.019425 0.0135842 4.91249 0.0435194 80.8531 2.07238 0.000709329 0.00137121 0.00042738 0.00135942 0.111994 0.000721827 0.0235241 0.000320871 
9 0 25920000 19.0636 0.0644518 -0.019425 0.013231 4.91249 0.0424363 80.8531 2.00979 0.000709329 0.00137121 0.00042738 0.00137185 0.111994 0.000721827 0.0235241 0.000320871 
9 0 26730000 19.064 0.0641042 -0.0201101 0.0130004 4.90809 0.0413322 80.7025 1.95588 0.00070236 0.00128845 -5.50464e-05 0.00133605 0.111948 0.00067819 0.0235143 0.000300968 
9 0 27540000 19.064 0.0638227 -0.0201101 0.012741 4.90809 0.0405648 80.7025 1.93038 0.00070236 0.00128553 -5.50464e-05 0.00133681 0.111948 0.00067819 0.0235143 0.000300968 
9 0 28350000 19.0769 0.0625704 -0.0150539 0.0127571 4.90669 0.0398874 80.7146 1.88548 0.00106683 0.00126052 0.000510717 0.00131237 0.111656 0.000698305 0.0234066 0.000301905 
9 0 29160000 19.0769 0.0610591 -0.0150539 0.0128605 4.90669 0.0393808 80.7146 1.86844 0.00106683 0.00126052 0.000510717 0.00128727 0.111656 0.000698305 0.0234066 0.000301905 
9 0 29970000 19.0649 0.0601259 -0.0118124 0.0125056 4.89559 0.0393148 80.7158 1.90527 0.000561509 0.0012878 0.000350113 0.00125562 0.111407 0.000702501 0.0233256 0.00030839 
9 0 30780000 19.0649 0.0592069 -0.0118124 0.0124754 4.89559 0.0384912 80.7158 1.8697 0.000561509 0.0012878 0.000350113 0.00123244 0.111407 0.000702501 0.0233256 0.00030839 
9 0 31590000 19.0649 0.0583653 -0.0118124 0.0124754 4.89559 0.0378795 80.7158 1.84415 0.000561509 0.0012878 0.000350113 0.00121772 0.111407 0.000702501 0.0233256 0.00030839 
9 0 32400000 19.0582 0.0571864 -0.00959709 0.0124754 4.89423 0.0372343 80.5081 1.80805 0.000544307 0.00122014 -9.21005e-05 0.00119672 0.11139 0.000690769 0.0233325 0.00030839 
9 0 33210000 19.0582 0.0563679 -0.00959709 0.0124754 4.89423 0.0365683 80.5081 1.77927 0.000544307 0.00122014 -9.21005e-05 0.00118263 0.11139 0.000690769 0.0233325 0.00030839 
9 0 34020000 19.0567 0.0551734 -0.00826903 0.0118365 4.88188 0.0360888 79.9213 1.75061 0.000338074 0.00117643 7.17073e-05 0.00118414 0.111454 0.000635584 0.0233426 0.000278018 
9 0 34830000 19.0567 0.054393 -0.00826903 0.0118365 4.88188 0.0357402 79.9213 1.72397 0.000338074 0.00117643 7.17073e-05 0.00116416 0.111454 0.000635584 0.0233426 0.000278018 
9 0 35640000 19.0567 0.053666 -0.00826903 0.0118365 4.88188 0.0352941 79.9213 1.69832 0.000338074 0.00112658 7.17073e-05 0.00114592 0.111454 0.000623986 0.0233426 0.000278018 
9 0 36450000 19.0567 0.0526634 -0.00826903 0.0118365 4.88188 0.0349972 79.9213 1.69221 0.000338074 0.00112235 7.17073e-05 0.0011342 0.111454 0.000623986 0.0233426 0.000278018 
9 0 37260000 19.0615 0.0521011 -0.00540182 0.0118365 4.88486 0.0349654 80.3911 1.68968 0.000217768 0.00108696 -0.000199595 0.00111985 0.111092 0.000663757 0.0232185 0.000279066 
9 0 38070000 19.0615 0.0510847 -0.00540182 0.0118365 4.88486 0.0349654 80.3911 1.69725 0.000217768 0.00107777 -0.000199595 0.0011092 0.111092 0.000663757 0.0232185 0.000279066 
9 0 38880000 19.0615 0.0504032 -0.00540182 0.0118365 4.88486 0.0349654 80.3911 1.67118 0.000217768 0.00106848 -0.000199595 0.00109741 0.111092 0.000663757 0.0232185 0.000279066 
9 0 39690000 19.0615 0.0497961 -0.00540182 0.0118365 4.88486 0.0349654 80.3911 1.64435 0.000217768 0.00105915 -0.000199595 0.00108116 0.111092 0.000663757 0.0232185 0.000279066 
9 0 40500000 19.0632 0.0497283 -0.0037443 0.0106937 4.86716 0.0330927 80.2965 1.63235 0.000236609 0.00104792 5.72772e-05 0.00107165 0.111122 0.000609149 0.0231993 0.00025647 
9 0 41310000 19.0632 0.0490485 -0.0037443 0.0106937 4.86716 0.0330596 80.2965 1.61398 0.000236609 0.00103581 5.72772e-05 0.00105318 0.111122 0.000609149 0.0231993 0.00025647 
9 0 42120000 19.0632 0.0486667 -0.0037443 0.0106937 4.86716 0.03278 80.2965 1.59525 0.000236609 0.00103179 5.72772e-05 0.00104805 0.111122 0.000609149 0.0231993 0.00025647 
9 0 42930000 19.0632 0.0484108 -0.0037443 0.0106937 4.86716 0.0325249 80.2965 1.58534 0.000236609 0.00102294 5.72772e-05 0.00104214 0.111122 0.000609149 0.0231993 0.00025647 
9 0 43740000 19.0212 0.0501157 -0.000468263 0.0106937 4.86231 0.0322766 80.2091 1.56136 0.000260581 0.00102377 -0.000368813 0.00105483 0.111111 0.000562389 0.0232146 0.000237192 
9 0 44550000 19.0212 0.0501157 -0.000468263 0.0106937 4.86231 0.0320887 80.2091 1.54413 0.000260581 0.00102339 -0.000368813 0.00103533 0.111111 0.000562389 0.0232146 0.000237192 
9 0 45360000 19.0212 0.0501157 -0.000468263 0.0106937 4.86231 0.0320887 80.2091 1.5254 0.000260581 0.00101738 -0.000368813 0.00101645 0.111111 0.000562389 0.0232146 0.000237192 
9 0 46170000 19.0212 0.0501157 -0.000468263 0.0106937 4.86231 0.0320887 80.2091 1.5061 0.000260581 0.00100596 -0.000368813 0.00100562 0.111111 0.000562389 0.0232146 0.000237192 
9 0 46980000 19.0197 0.0476588 0.00132547 0.0102979 4.86531 0.0309979 80.1678 1.49019 -0.000193244 0.000999916 -0.000473739 0.000996816 0.111096 0.000522437 0.023229 0.000220691 
9 0 47790000 19.0197 0.0476588 0.00132547 0.0102979 4.86531 0.0310611 80.1678 1.47997 -0.000193244 0.000990098 -0.000473739 0.000995773 0.111096 0.000522437 0.023229 0.000220691 
9 0 48600000 19.0197 0.0476588 0.00132547 0.0102979 4.86531 0.0307002 80.1678 1.46476 -0.000193244 0.000981976 -0.000473739 0.000991299 0.111096 0.000529811 0.023229 0.000220691 
9 0 49410000 19.0197 0.0476588 0.00132547 0.0102979 4.86531 0.0305524 80.1678 1.45047 -0.000193244 0.000978989 -0.000473739 0.000974898 0.111096 0.000529811 0.023229 0.000220691 
9 0 50220000 19.0083 0.0476588 6.04232e-06 0.0102979 4.87376 0.0302379 80.5934 1.4379 -9.52496e-05 0.000974355 7.427e-05 0.000970869 0.111418 0.000578661 0.0233753 0.000249823 
9 0 51030000 19.0083 0.0476588 6.04232e-06 0.0102979 4.87376 0.0298888 80.5934 1.42177 -9.52496e-05 0.000965492 7.427e-05 0.000956285 0.111418 0.000578661 0.0233753 0.000249823 
9 0 51840000 19.0083 0.0476588 6.04232e-06 0.0102979 4.87376 0.0295547 80.5934 1.41264 -9.52496e-05 0.000954043 7.427e-05 0.000946992 0.111418 0.000578661 0.0233753 0.000249823 
9 0 52650000 19.0083 0.0476588 6.04232e-06 0.0102979 4.87376 0.0291608 80.5934 1.38502 -9.52496e-05 0.000916983 7.427e-05 0.000944542 0.111418 0.000578661 0.0233753 0.000249823 
9 0 53460000 19.0033 0.0444354 -8.26036e-05 0.00910641 4.87456 0.0289209 80.6707 1.37238 -0.000176045 0.000919123 0.00024133 0.0010209 0.111288 0.000556933 0.0233232 0.000239584 
9 0 54270000 19.0033 0.0444354 -8.26036e-05 0.00910641 4.87456 0.0285281 80.6707 1.35784 -0.000176045 0.00091092 0.00024133 0.0010209 0.111288 0.000556933 0.0233232 0.000239584 
