L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std
4 1.5 160000 3.1942 0.0780407 -2.79405 0.0409469 9.00543 0.19715 109.92 3.90331 -0.0195244 0.0236238 0.0159544 0.0219513 0.736564 0.00922044 0.58846 0.0112103 
4 1.5 320000 3.1875 0.0482886 -2.85639 0.0277319 9.33376 0.135849 116.873 2.74649 -0.0127302 0.0172759 -0.00436267 0.0183795 0.746165 0.00560942 0.601633 0.00704981 
4 1.5 480000 3.21591 0.0384483 -2.82137 0.0362605 9.17557 0.190546 113.947 4.01436 -0.00290269 0.0140094 0.00162393 0.0131148 0.739298 0.00620557 0.59396 0.00747233 
4 1.5 640000 3.24063 0.0365734 -2.81151 0.0270239 9.13592 0.139632 113.718 2.87447 -0.00944526 0.0118686 0.00545227 0.0112255 0.737625 0.00455872 0.591777 0.005447 
4 1.5 800000 3.23479 0.0285668 -2.8141 0.0215555 9.13603 0.112708 113.315 2.33672 -0.00191656 0.0106966 0.0122072 0.00972666 0.738051 0.00380321 0.591751 0.00467581 
4 1.5 960000 3.21697 0.0279814 -2.81459 0.0223258 9.14552 0.116234 113.444 2.39482 -0.00467271 0.00952472 0.0111065 0.00907001 0.738339 0.00359456 0.592047 0.00460513 
4 1.5 1120000 3.22927 0.0255581 -2.81088 0.018655 9.13184 0.0975986 113.264 2.02646 0.000592537 0.0105633 0.0172635 0.0084393 0.737546 0.00300352 0.591245 0.00385377 
4 1.5 1280000 3.22188 0.0245461 -2.81639 0.0164947 9.1564 0.0889167 113.818 1.874 0.000671391 0.00922401 0.0190845 0.00802338 0.738278 0.00274098 0.59201 0.00349927 
4 1.5 1440000 3.23506 0.0249154 -2.81258 0.0148498 9.13483 0.0837305 113.245 1.83144 -0.00206276 0.00845092 0.0143823 0.00750633 0.738615 0.0024513 0.592354 0.00309011 
4 1.5 1600000 3.24712 0.0235254 -2.81158 0.0132833 9.13318 0.0756023 113.377 1.66719 -0.006898 0.00822441 0.00987635 0.00736867 0.738499 0.00231141 0.592236 0.00286155 
4 1.5 1760000 3.23848 0.0234797 -2.81118 0.0124772 9.13907 0.0682762 113.615 1.50868 -0.00597017 0.00756079 0.0102382 0.00694221 0.738143 0.00216055 0.591893 0.00271408 
4 1.5 1920000 3.23171 0.0215069 -2.81477 0.0120129 9.15693 0.0643631 113.849 1.3895 -0.00439704 0.00733363 0.00771039 0.00689012 0.738634 0.00214867 0.592409 0.00258504 
4 1.5 2080000 3.22477 0.0209453 -2.81715 0.011399 9.16945 0.0602048 114.1 1.29618 -0.00249585 0.00730946 0.00446853 0.00779156 0.739072 0.00199236 0.593086 0.00247724 
