L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std
11 0.25 1210000 25.1562 0.472916 -1.86491 0.113863 13.0196 0.768135 670.283 104.642 -0.0218259 0.0134628 0.00209887 0.0125927 0.139563 0.00539287 0.0372423 0.00256509 
11 0.25 2420000 24.8962 0.370454 -1.79054 0.0773816 12.0658 0.496542 544.902 55.06 -0.0146213 0.00743548 0.00258838 0.00786295 0.135207 0.00336205 0.0345068 0.00162101 
11 0.25 3630000 25.1072 0.329125 -1.74393 0.0582015 11.7089 0.433675 505.897 49.5732 -0.0103026 0.0072426 0.000761621 0.0062107 0.133099 0.00299918 0.0332431 0.00144242 
11 0.25 4840000 25.2292 0.250599 -1.75243 0.0482366 11.5301 0.41032 482.919 40.4397 -0.00523975 0.00572931 0.00446554 0.0053774 0.132414 0.00225697 0.0325858 0.00118415 
11 0.25 6050000 25.1608 0.214786 -1.74496 0.0421069 11.4469 0.322496 471.349 32.1407 -0.00518456 0.00519335 0.00580444 0.00421674 0.132683 0.00178141 0.032453 0.000969045 
11 0.25 7260000 25.2674 0.205551 -1.75412 0.0393577 11.4469 0.33471 468.391 40.4109 -0.00311584 0.00460232 0.00546452 0.00373631 0.133554 0.00175603 0.0327159 0.0011156 
11 0.25 8470000 25.2437 0.175478 -1.76239 0.0362999 11.4583 0.278974 464.929 34.3973 -0.000951503 0.00507803 0.0044205 0.00325226 0.133854 0.00162005 0.0328547 0.000940534 
11 0.25 9680000 25.2581 0.165487 -1.75354 0.034694 11.3943 0.254103 462.425 31.2691 0.00101728 0.00457774 0.00395383 0.00320929 0.13384 0.00159792 0.0327156 0.000885757 
11 0.25 10890000 25.2105 0.157205 -1.74025 0.0321458 11.3854 0.227252 463.888 30.0677 0.00137993 0.00416836 0.00473254 0.00291471 0.134091 0.0015398 0.0328241 0.000873874 
11 0.25 12100000 25.2097 0.146285 -1.74792 0.030537 11.4228 0.21889 468.183 28.1837 0.00149264 0.00374867 0.00435958 0.00269823 0.134136 0.00136872 0.0328415 0.000780408 
11 0.25 13310000 25.2502 0.136823 -1.74318 0.0289486 11.3706 0.199379 464.765 25.7925 0.000848056 0.00365222 0.00557057 0.00274451 0.133922 0.00126247 0.0327703 0.000702695 
11 0.25 14520000 25.272 0.130098 -1.75391 0.0286892 11.4301 0.189901 469.767 23.9278 0.000539407 0.00348179 0.00477526 0.00317488 0.133988 0.00124379 0.0326858 0.000643876 
11 0.25 15730000 25.2946 0.126165 -1.76462 0.0271538 11.4615 0.176656 472.253 22.0626 0.00158389 0.00321493 0.0031221 0.00294027 0.134237 0.00119201 0.0327976 0.000599848 
11 0.25 16940000 25.3059 0.122577 -1.7775 0.0264809 11.4967 0.166535 472.917 20.3755 0.00108563 0.00300599 0.002961 0.00274216 0.134625 0.00113615 0.0329125 0.000564617 
