L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std
200 0.5 4000000 25 0 -759.14 0 576294 0 3.32114e+11 0 0.303464 0 -0.662033 0 0.530378 0 0.281301 0 
200 0.5 4400000 21.5455 2.24295 -771.693 2.26571 595559 3500.49 3.54805e+11 4.17868e+09 0.294059 0.0030918 -0.672825 0.00177338 0.539295 0.00145784 0.290862 0.00157567 
200 0.5 4800000 21.5 2.06157 -768.342 2.91819 590469 4473.09 3.48935e+11 5.25749e+09 0.297117 0.00303644 -0.669975 0.00218355 0.537384 0.00174268 0.28883 0.00185661 
200 0.5 5200000 22.2667 2.00399 -762.871 3.03354 582147 4643.94 3.39301e+11 5.44379e+09 0.297466 0.00250303 -0.668152 0.00189088 0.535159 0.00157279 0.286456 0.00167526 
200 0.5 5600000 21.95 1.8728 -762.707 3.26685 581864 4988.34 3.38896e+11 5.81904e+09 0.29801 0.00199617 -0.668501 0.00142955 0.535922 0.0012518 0.287263 0.00133371 
200 0.5 6000000 22.7917 1.98545 -761.856 2.83099 580576 4320.08 3.37418e+11 5.0334e+09 0.299764 0.00181622 -0.667415 0.00143778 0.535551 0.001183 0.286875 0.00125997 
200 0.5 6400000 21.8333 1.78891 -762.581 2.44516 581665 3730.06 3.38648e+11 4.34325e+09 0.298253 0.00174779 -0.66863 0.00135314 0.536273 0.00113613 0.287648 0.00121338 
200 0.5 6800000 21.4118 1.5539 -762.711 2.18275 581867 3328.35 3.38888e+11 3.87221e+09 0.297514 0.00180681 -0.669006 0.00146052 0.536333 0.00105686 0.287719 0.00112667 
200 0.5 7200000 21.125 1.37349 -762.677 2.3616 581819 3604.88 3.38842e+11 4.20237e+09 0.296971 0.00177835 -0.669848 0.00145437 0.537131 0.00122928 0.28858 0.00131968 
200 0.5 7600000 20.75 1.3086 -765.375 3.06158 586018 4738.05 3.43938e+11 5.68337e+09 0.295279 0.0021411 -0.671956 0.00238063 0.539026 0.002124 0.29066 0.00231811 
200 0.5 8000000 21.5417 1.30759 -768.827 5.94862 591436 9279.01 3.50619e+11 1.13073e+10 0.294984 0.00234251 -0.673429 0.00348625 0.540839 0.0035014 0.292647 0.00383604 
200 0.5 8400000 22.2885 1.32031 -770.679 5.94862 594319 9279.01 3.54117e+11 1.13073e+10 0.29431 0.00234251 -0.674506 0.00348625 0.541916 0.0035014 0.293827 0.00383604 
200 0.5 8800000 21.5333 1.26004 -773.801 6.05238 599174 9434.93 3.59991e+11 1.14813e+10 0.292232 0.00241477 -0.677533 0.00378897 0.544849 0.00383852 0.297057 0.00421023 
200 0.5 9200000 21.625 1.18462 -775.386 6.00983 601655 9369.61 3.63036e+11 1.14035e+10 0.290789 0.00332583 -0.679468 0.00467467 0.546736 0.0045691 0.29917 0.0050437 
200 0.5 9600000 21.7059 1.11769 -777.99 6.00983 605787 9369.61 3.68248e+11 1.14035e+10 0.289349 0.00332583 -0.681774 0.00467467 0.549146 0.0045691 0.301892 0.0050437 
200 0.5 10000000 22.1528 1.14145 -780.288 7.06373 609433 11096.5 3.72842e+11 1.37197e+10 0.288354 0.0037431 -0.683719 0.00577281 0.551297 0.00591532 0.304324 0.00661169 
200 0.5 10400000 22.0625 1.03045 -784.463 9.78484 616073 15456.8 3.81258e+11 1.93255e+10 0.286831 0.004788 -0.686998 0.008223 0.554988 0.00870327 0.308499 0.009775 
200 0.5 10800000 22.0625 0.988583 -784.463 9.78484 616073 15456.8 3.81258e+11 1.93255e+10 0.286831 0.004788 -0.686998 0.008223 0.554988 0.00870327 0.308499 0.009775 
200 0.5 11200000 22.4318 1.05873 -788.452 9.78484 622456 15456.8 3.8945e+11 1.93255e+10 0.285448 0.004788 -0.689939 0.008223 0.558312 0.00870327 0.312271 0.009775 
200 0.5 11600000 22.4318 1.01299 -788.452 9.78484 622456 15456.8 3.8945e+11 1.93255e+10 0.285448 0.004788 -0.689939 0.008223 0.558312 0.00870327 0.312271 0.009775 
200 0.5 12000000 22.4687 0.939562 -793.188 11.3987 630146 18192.6 3.99622e+11 2.32462e+10 0.284692 0.00444207 -0.69253 0.00851244 0.561494 0.00937424 0.315903 0.0105847 
200 0.5 12400000 22.5865 0.903431 -796.546 11.3987 635556 18192.6 4.06661e+11 2.32462e+10 0.283773 0.00444207 -0.694561 0.00851244 0.563805 0.00937424 0.318523 0.0105847 
200 0.5 12800000 22.5865 1.02023 -796.546 11.3987 635556 18192.6 4.06661e+11 2.32462e+10 0.283773 0.00444207 -0.694561 0.00851244 0.563805 0.00937424 0.318523 0.0105847 
200 0.5 13200000 23.3125 1.00005 -799.014 11.1604 639507 17840.2 4.11736e+11 2.28648e+10 0.283391 0.00399345 -0.695782 0.00789314 0.565281 0.00876672 0.320177 0.00989789 
200 0.5 13600000 23.6667 0.983733 -801.313 11.1604 643193 17840.2 4.16486e+11 2.28648e+10 0.283171 0.00399345 -0.697105 0.00789314 0.566984 0.00876672 0.322105 0.00989789 
200 0.5 14000000 23.6667 0.983733 -801.313 11.1604 643193 17840.2 4.16486e+11 2.28648e+10 0.283171 0.00399345 -0.697105 0.00789314 0.566984 0.00876672 0.322105 0.00989789 
200 0.5 14400000 23.7109 0.935943 -803.146 10.5022 646135 16796.3 4.20286e+11 2.15462e+10 0.283712 0.00350718 -0.69776 0.00715003 0.568188 0.00813866 0.32346 0.00918911 
200 0.5 14800000 23.7109 0.923246 -803.146 10.5022 646135 16796.3 4.20286e+11 2.15462e+10 0.283712 0.00350718 -0.69776 0.00715003 0.568188 0.00813866 0.32346 0.00918911 
