L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std Mag1 Mag1_std eig1 eig1_std eig2 eig2_std eig3 eig3_std R_g_2_trace R_g_2_trace_std R_g_2_direct R_g_2_direct_std asphericity asphericity_std
200 0.22 8000000 113 0 -57.9485 0 3358.03 0 1.12764e+07 0 -0.0541608 0 0.026015 0 0.00361017 0 1.30333e-05 0 0.0600847 0 4.81476 0 25.7769 0 2792.04 0 2822.63 0 2822.63 0 0.967792 0 
200 0.22 8400000 422 218.496 -53.9225 2.84683 2923.84 307.016 8.73737e+06 1.79534e+06 -0.0431788 0.00776541 -0.0102931 0.0256737 0.00340924 0.000142082 1.16633e-05 9.68783e-07 0.0583633 0.00121722 5.28183 0.330264 19.9443 4.12433 1437.57 957.755 1462.79 961.549 1462.79 961.549 0.738883 0.161863 
200 0.22 8800000 671 250.104 -53.1302 2.00511 2834.88 217.185 8.17804e+06 1.28106e+06 -0.0338846 0.00918639 -0.00799233 0.0172186 0.00235465 0.000866263 7.79559e-06 3.22331e-06 0.0441313 0.0116487 4.48343 0.688067 15.9545 4.26286 1006.28 729.174 1026.72 733.28 1026.72 733.28 0.759621 0.109229 
200 0.22 9200000 614 193.965 -49.818 3.23874 2523.79 314.824 6.76597e+06 1.55518e+06 -0.0139489 0.0185888 -0.0257838 0.020104 0.00385824 0.00145523 2.33568e-05 1.36915e-05 0.0559691 0.0134694 4.13574 0.597472 16.3131 3.21219 769.253 584.135 789.701 587.016 789.701 587.016 0.668761 0.113591 
200 0.22 9600000 517 177.779 -48.0831 3.02014 2357.59 292.459 5.98587e+06 1.42644e+06 -0.0157154 0.0149547 -0.0240077 0.0161615 0.00324753 0.00128596 1.8815e-05 1.16823e-05 0.0504487 0.0118529 4.43938 0.549745 15.866 2.60067 620.911 485.779 641.216 488.031 641.216 488.031 0.567738 0.128149 
200 0.22 10000000 652.333 192.901 -48.5922 2.55935 2400.51 246.845 6.12803e+06 1.19576e+06 -0.0170553 0.0125222 -0.0328712 0.0157116 0.00379335 0.00118181 2.27695e-05 1.0383e-05 0.0555008 0.0109011 5.42809 1.01217 269.948 231.954 1268.4 716.413 1543.78 918.831 1543.78 918.831 0.544322 0.108909 
200 0.22 10400000 619.286 168.151 -49.9268 2.51775 2537.06 246.474 6.86192e+06 1.2297e+06 0.0105881 0.0277525 -0.0271222 0.0144807 0.00770695 0.00376223 0.000158478 0.000125956 0.0728011 0.0185432 6.00457 1.0186 243.735 200.294 1887.45 839.974 2137.19 960.26 2137.19 960.26 0.602315 0.10769 
200 0.22 10800000 587.5 150.106 -50.2811 2.22782 2567.89 217.585 6.97283e+06 1.08097e+06 0.0150589 0.0246409 -0.0199937 0.0143181 0.00712397 0.00333681 0.000139826 0.000111584 0.0705965 0.0163558 5.86285 0.901077 215.36 177.255 2299.47 829.897 2520.69 913.602 2520.69 913.602 0.650474 0.104443 
200 0.22 11200000 584.111 133.466 -46.4808 4.0938 2311.3 309.732 6.20549e+06 1.20276e+06 0.0152977 0.0219042 -0.0100388 0.0158136 0.00690355 0.00297333 0.000127225 9.98949e-05 0.0707186 0.014539 5.85082 0.801038 192.655 159.008 2050.62 774.097 2249.13 851.496 2249.13 851.496 0.628711 0.0950789 
200 0.22 11600000 566.2 121.315 -47.7807 3.88534 2433.96 302.072 6.83663e+06 1.23704e+06 0.00922145 0.0243509 -0.0136158 0.0146312 0.00662974 0.00268857 0.000116238 9.05076e-05 0.0701008 0.0130982 5.60317 0.806596 175.299 144.051 1850.26 875.926 2031.16 906.93 2031.16 906.93 0.59619 0.108977 
200 0.22 12000000 537 113.746 -46.4334 3.75849 2311.45 298.422 6.3224e+06 1.22682e+06 0.00189264 0.0243509 -0.0108365 0.0135625 0.00651657 0.00244654 0.000108307 8.38639e-05 0.070399 0.0119108 5.46749 0.806596 162.455 134.739 1688.62 875.926 1856.54 906.93 1856.54 906.93 0.568098 0.108977 
200 0.22 12400000 514.667 106.437 -45.3661 3.59364 2213.05 289.321 5.90207e+06 1.19442e+06 0.000462686 0.0218108 -0.0102238 0.0124461 0.00599395 0.0022978 9.92861e-05 7.62317e-05 0.0658374 0.0117594 5.32838 0.717448 150.875 121.075 1551.75 779.144 1707.95 811.324 1707.95 811.324 0.541591 0.103592 
