L J MC_steps R2 R2_std E E_std E2 E2_std E4 E4_std Sin1 Sin1_std Cos1 Cos1_std Mag2 Mag2_std Mag4 Mag4_std
100 0.29 1000000 387 0 -23.6642 0 559.996 0 313595 0 0.10543 0 0.113549 0 0.0240091 0 0.000576435 0 
100 0.29 1100000 246 99.7021 -31.474 5.52232 1051.6 347.619 1.34755e+06 731114 0.0162932 0.0630296 0.0587364 0.0387587 0.0146654 0.006607 0.000302377 0.000193788 
100 0.29 1200000 184.333 83.3858 -22.0826 8.50598 704.699 365.971 898404 609962 0.0524858 0.0513704 0.031544 0.0340677 0.0151484 0.00442229 0.000288143 0.000129714 
100 0.29 1300000 202.5 64.4879 -27.2093 7.77238 981.986 364.698 1.49632e+06 690944 -0.019642 0.0733908 0.0232233 0.0265475 0.025289 0.0093875 0.000992035 0.000617302 
100 0.29 1400000 228.6 56.6262 -24.8993 6.55218 834.633 320.146 1.20908e+06 609543 -0.0261317 0.0589988 0.0124033 0.023339 0.0209646 0.00844753 0.000796317 0.000523951 
100 0.29 1500000 228 47.1917 -22.8154 5.78205 721.137 286.2 1.0115e+06 539024 -0.0259776 0.0491659 -0.00516294 0.0252074 0.0190177 0.00726049 0.000677961 0.000449795 
100 0.29 1600000 216.714 41.7777 -24.3382 5.15265 778.195 250.937 1.04637e+06 463147 -0.00715663 0.0456025 -0.0240876 0.0278175 0.0206053 0.00639449 0.000710803 0.000386735 
100 0.29 1700000 204.25 38.3698 -24.7237 4.52297 774.921 219.592 986266 409136 -0.022432 0.0423834 -0.0299584 0.0249521 0.0207524 0.00559687 0.000681263 0.00033952 
100 0.29 1800000 186.333 38.0604 -27.0931 4.59934 924.421 240.764 1.37626e+06 517160 -0.0181549 0.0378894 0.00479328 0.0395655 0.0273619 0.00797382 0.00132091 0.000674364 
100 0.29 1900000 195.2 35.272 -25.6859 4.34934 848.935 228.214 1.24151e+06 482680 -0.015194 0.0342159 0.0172109 0.0486759 0.0263021 0.00724652 0.00121692 0.000614893 
